dataset,category,stratum,feature,fit_images,check_images,median,q01,q99,fraction_outside_source_scaler_3sd,fraction_outside_source_scaler_5sd
VisA,fryum,high_response,intensity_std,8,8,0.20260708034038544,0.01904907077550888,0.30304014682769775,0.0,0.0
VisA,fryum,high_response,image_gradient,8,8,0.12410315126180649,0.041873760521411896,0.5665555596351624,0.0,0.0
VisA,fryum,uniform,response,8,8,-5.238864898681641,-8.203351974487305,-2.133701801300049,0.0,0.0
VisA,fryum,uniform,center_surround,8,8,0.027880573645234108,-1.171957015991211,0.9314751625061035,0.0,0.0
VisA,fryum,uniform,surround,8,8,-5.317311763763428,-7.208128929138184,-2.7789719104766846,0.0,0.0
VisA,fryum,uniform,response_std,8,8,0.6620992422103882,0.3544429540634155,1.4102535247802734,0.0,0.0
VisA,fryum,uniform,intensity_mean,8,8,0.4519946873188019,0.3321794271469116,0.802783191204071,0.0,0.0
VisA,fryum,uniform,intensity_std,8,8,0.029997894540429115,0.018269700929522514,0.29860392212867737,0.0,0.0
VisA,fryum,uniform,image_gradient,8,8,0.10419820249080658,0.04998275265097618,0.49233052134513855,0.0,0.0
VisA,macaroni1,high_response,response,8,8,-0.4686390459537506,-1.0309579372406006,1.676620364189148,0.0,0.0
VisA,macaroni1,high_response,center_surround,8,8,0.5965583920478821,0.28421837091445923,1.3169035911560059,0.0,0.0
VisA,macaroni1,high_response,surround,8,8,-0.9797101020812988,-1.6399049758911133,0.26499658823013306,0.0,0.0
VisA,macaroni1,high_response,response_std,8,8,0.42006224393844604,0.234153151512146,0.9747321605682373,0.0,0.0
VisA,macaroni1,high_response,intensity_mean,8,8,0.2341291457414627,0.21001118421554565,0.6349740624427795,0.0,0.0
VisA,macaroni1,high_response,intensity_std,8,8,0.03197651728987694,0.008176528848707676,0.14780791103839874,0.0,0.0
VisA,macaroni1,high_response,image_gradient,8,8,0.07331526279449463,0.03038433939218521,0.11432214081287384,0.0,0.0
VisA,macaroni1,uniform,response,8,8,-2.0667366981506348,-2.9420506954193115,-0.5177367925643921,0.0,0.0
VisA,macaroni1,uniform,center_surround,8,8,0.008283859118819237,-0.41979581117630005,0.3387744724750519,0.0,0.0
VisA,macaroni1,uniform,surround,8,8,-2.0803184509277344,-2.637782096862793,-0.7285912036895752,0.0,0.0
VisA,macaroni1,uniform,response_std,8,8,0.2097557783126831,0.1191864162683487,0.6561955213546753,0.0,0.0
VisA,macaroni1,uniform,intensity_mean,8,8,0.2499890923500061,0.20958949625492096,0.6495396494865417,0.0,0.0
VisA,macaroni1,uniform,intensity_std,8,8,0.03687341511249542,0.006915072910487652,0.22105754911899567,0.0,0.0
VisA,macaroni1,uniform,image_gradient,8,8,0.07942222058773041,0.02732423134148121,0.3571435809135437,0.0,0.0
VisA,macaroni2,high_response,response,8,8,-0.11206318438053131,-1.298409104347229,2.08365797996521,0.0,0.0
VisA,macaroni2,high_response,center_surround,8,8,1.0243384838104248,0.5343003273010254,1.806665062904358,0.0,0.0
VisA,macaroni2,high_response,surround,8,8,-1.2200591564178467,-1.9699751138687134,0.10265864431858063,0.0,0.0
VisA,macaroni2,high_response,response_std,8,8,0.759364128112793,0.4243624806404114,1.34328293800354,0.0,0.0
VisA,macaroni2,high_response,intensity_mean,8,8,0.2834937870502472,0.2473437488079071,0.4008989930152893,0.0,0.0
VisA,macaroni2,high_response,intensity_std,8,8,0.06431734561920166,0.016097212210297585,0.21594823896884918,0.0,0.0
VisA,macaroni2,high_response,image_gradient,8,8,0.10491666942834854,0.05850760638713837,0.18324624001979828,0.0,0.0
VisA,macaroni2,uniform,response,8,8,-2.815176010131836,-3.910494089126587,-1.1846332550048828,0.0,0.0
VisA,macaroni2,uniform,center_surround,8,8,0.0018945985939353704,-0.5396855473518372,0.5190626978874207,0.0,0.0
VisA,macaroni2,uniform,surround,8,8,-2.8273024559020996,-3.593090295791626,-1.554916262626648,0.0,0.0
VisA,macaroni2,uniform,response_std,8,8,0.318621426820755,0.1689203530550003,0.8111737966537476,0.0,0.0
VisA,macaroni2,uniform,intensity_mean,8,8,0.3442402184009552,0.24248211085796356,0.7602050304412842,0.0,0.0
VisA,macaroni2,uniform,intensity_std,8,8,0.027462495490908623,0.008983578532934189,0.2802371680736542,0.0,0.0
VisA,macaroni2,uniform,image_gradient,8,8,0.0641479641199112,0.03710963577032089,0.41520923376083374,0.0,0.0
VisA,pcb1,high_response,response,8,8,-0.2090691328048706,-0.9936648607254028,3.7198431491851807,0.0,0.0
VisA,pcb1,high_response,center_surround,8,8,1.683266282081604,0.8223437666893005,3.8103339672088623,0.0,0.0
VisA,pcb1,high_response,surround,8,8,-2.1539931297302246,-2.843238353729248,-0.7959482669830322,0.0,0.0
VisA,pcb1,high_response,response_std,8,8,1.2530333995819092,0.7477713823318481,2.3422842025756836,0.0,0.0
